지역,대학명,1work_std,Get_Job,Tuition,Scholar,1prof_std,1Prof_Paper,Edu_Fund,A_Ratio,Dorm_Capa,Fresh_Ratio,Fresh_Comp,Fail
경기,한경대학교,24.08135593,66.8,4051859.8,2696391.2,514,0.4731,18255359.5,68.5,24.6,99.6,7.5,6.3
서울,한국외국어대학교,64.47075209,65.2,7129957.7,2544681.1,2057,0.868,13316550.5,73.6,18.1,99.8,5.7,3.9
서울,한국체육대학교,20.22875817,67.1,3859451.6,2897933,303,0.992,19830615.5,48.4,35.7,99.8,9.9,2.2
경기,한국항공대학교,22.55511811,65.7,8466449.5,3344286.4,292,0.3845,12960507,59.4,18.1,100,8.7,3.7
서울,한성대학교,35.73207547,63.8,7731387.9,3591650.5,666,0.6604,11321801,69.8,12.6,100,10.6,4
경기,한세대학교,39.03529412,68.3,8107268.6,3880239.3,456,0.8475,11175166,65.1,14.1,99.9,7.1,4.2
경기,한신대학교,50.66887417,63,7190015.4,3285862.7,428,0.5015,22832876,47.1,16.8,99.9,18.9,4.2
서울,한양대학교,31.59103641,73.8,8489626,3497468.5,3190,0.4133,21770836,48.3,11.1,99.9,15.3,2.9
경기,협성대학교,62.20454545,60.5,7360468.1,3924965,344,0.3496,12384988.5,51,11.2,99.6,7.8,6.2
서울,홍익대학교,51.22093023,65.3,8315003.9,3918559.7,1094,0.5691,9264538.5,70.3,13.8,26.1,4.2,3.5
